inn,класс,год_дела,стадия,вес,okved,окопф,выручка,автономия,ликвидность,падение_выручки,ча_отрицательные_2года,убыток_2года,флаги
3707004703,выжил,,,9.81767,62.01,12300,1960,0.697761,,0.155172,False,False,
3711009856,выжил,,,9.81767,,20702,,,,,False,,
3711010178,выжил,,,9.81767,94.99,20702,,,,,False,,
3717000105,выжил,,,9.81767,32.99.8,14200,2773,0.455409,,0.137481,False,False,
3722000118,выжил,,,9.81767,,14100,75517,0.883554,9.06301,-0.10612,False,False,
3728003122,выжил,,,9.81767,68.20.2,12165,4705,0.432784,,-0.184244,False,False,
3801069761,выжил,,,9.81767,73.11,12165,,-26,,,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
3801095419,выжил,,,9.81767,10.32,12300,300,1,,-4.88235,,False,
3801100757,выжил,,,9.81767,68.20.2,12300,5688,0.962759,,-0.109204,False,False,
3801122599,выжил,,,9.81767,79.11,12300,279,-3.90909,,-0.55,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
3801153950,выжил,,,9.81767,85.41.9,71400,,,,,,,
3801992592,выжил,,,9.81767,,12300,1816,0.986474,,0.19646,False,False,
3804029823,выжил,,,9.81767,80.10,12300,119725,0.446362,1.52382,-0.0143779,False,False,
3804036683,выжил,,,9.81767,56.10,12300,6046,0.809278,,-0.0881929,False,True,убыток_2года
3804041193,выжил,,,9.81767,68.20,12300,,-0.079764,,,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
3804043232,выжил,,,9.81767,68.31.5,12300,4096,0.411504,,-0.270866,False,False,
3804047565,выжил,,,9.81767,56.10,12165,1560,1,,0.196704,False,False,
3804052244,выжил,,,9.81767,,12100,3467,0.945652,,0.328231,False,False,
3804055809,выжил,,,9.81767,46.73,12300,103785,0.63651,,-0.477998,False,False,
3805730929,выжил,,,9.81767,47.21,12300,0,,,,,False,
3808146084,выжил,,,9.81767,,12300,,-3.88055,,,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
3808149688,выжил,,,9.81767,93.1,12300,49,1,,0.919804,False,False,падение_выручки
3808151253,выжил,,,9.81767,71.11.1,12300,,1,,,False,,
3808170665,выжил,,,9.81767,46.90,12300,1336,0.37123,,0.476284,False,False,
3808211590,выжил,,,9.81767,47.76.2,12300,,0.398496,,,False,True,убыток_2года
3808224705,выжил,,,9.81767,41.20,12300,18576,0.787755,,-1.64201,False,False,
3808272650,выжил,,,9.81767,46.49.4,12300,27222,1,,,False,False,
3809001934,выжил,,,9.81767,55.10,12300,31251,0.278081,,-10.7529,False,False,
3810002019,выжил,,,9.81767,46.3,12300,1045,0.583824,,-0.0587639,False,False,
3810011140,выжил,,,9.81767,27.90,12300,11678,0.268125,,0.163767,False,False,
3810052059,выжил,,,9.81767,11.07,12267,12153,0.868332,8.26111,-0.261863,False,False,
3810064199,выжил,,,9.81767,68.10.1,12300,683,1,,-0.248629,False,False,
3810070636,выжил,,,9.81767,31.09,12300,1281,0.861868,,-3.3277,False,False,
3811072788,выжил,,,9.81767,69.20,12300,146,0.0555556,,0.44697,False,False,коэффициент_автономии
3811083701,выжил,,,9.81767,,12300,31697,-0.330779,0.999053,0.398368,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
3811161195,выжил,,,9.81767,68.20.2,12300,26253,0.278098,1.71734,0.0822876,False,False,
3811175800,выжил,,,9.81767,27.90,12300,6274,0.664404,3.48345,-0.160992,False,False,
3811472602,банкрот,2023,ProceedingsStopped,1,41.20,12300,5010,0.0411677,,,,False,коэффициент_автономии
3811475018,выжил,,,9.81767,73.11,12300,650,0.989107,91.8,,False,False,
3812012132,выжил,,,9.81767,,12300,54437,0.165948,0.866918,-0.0456388,False,False,текущая_ликвидность
3812060633,выжил,,,9.81767,,12300,113068,0.905373,7.86163,-0.209258,False,False,
3812151961,выжил,,,9.81767,33.12,12300,14963,0.024143,,-4.16678,False,False,коэффициент_автономии
3812153912,выжил,,,9.81767,70.22,20601,,,,,,,
3812157875,выжил,,,9.81767,25.62,12300,24016,-0.0604712,0.888053,-2.82969,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
3812526603,выжил,,,9.81767,,12300,714,0.192308,,-1.52297,False,False,
3812535598,выжил,,,9.81767,38.32.3,12300,,-0.221694,,,,False,коэффициент_автономии
3812536753,выжил,,,9.81767,42.21,12300,2725,0.80778,5.20238,,False,False,
3812537080,выжил,,,9.81767,53.20.3,12300,89,-0.145138,,,,,коэффициент_автономии
3816009620,выжил,,,9.81767,02.20,12165,1480,1,,0.420063,False,False,
3816026802,выжил,,,9.81767,41.20,12300,1675,1,,-0.348631,False,,
3816027242,выжил,,,9.81767,,12300,4091,-0.266667,,-0.297906,True,False,коэффициент_автономии;ча_отрицательные_2года
3817036828,выжил,,,9.81767,93.29,12300,24180,0.895253,,-0.776113,False,False,
3818031156,выжил,,,9.81767,82.99,12300,447,0.33908,,-0.383901,False,False,
3827018360,выжил,,,9.81767,68.1,12300,26122,0.695234,0.23605,-1.01078,False,False,текущая_ликвидность
3827050268,выжил,,,9.81767,33.20,12300,54,0.022316,,0.952673,False,True,коэффициент_автономии;падение_выручки;убыток_2года
3827061284,выжил,,,9.81767,17.22,12300,7082,0.104575,1.11679,0.524666,False,False,падение_выручки
3831002242,выжил,,,9.81767,16.10,12300,,0.638239,,,False,True,убыток_2года
3834012672,выжил,,,9.81767,52.21.24,20101,,,,,,,
3848000733,выжил,,,9.81767,46.90,12300,73129,0.569211,2.32132,-0.0570066,False,False,
3848006189,выжил,,,9.81767,22.2,12300,14502,0.605276,2.17483,-0.660408,False,False,
3849054040,выжил,,,9.81767,94.99,20700,,,,,False,,
3849057612,выжил,,,9.81767,68.20.2,12300,7482,0.901205,,-0.357648,False,False,
3849057891,выжил,,,9.81767,71.12.9,12300,2444,0.930614,,0.0924619,False,False,
3849057901,выжил,,,9.81767,80.10,12300,,,,,,,
3849080273,выжил,,,9.81767,41.20,12300,0,0.0322581,1.03558,1,False,False,коэффициент_автономии;падение_выручки
3849080611,выжил,,,9.81767,10.11,20100,4486,,,,,False,
3851994059,выжил,,,9.81767,68.20.2,12300,187,0.947115,18.9091,-5.44828,False,False,
3904607806,выжил,,,9.81767,56.1,12300,2515,-0.760167,,-0.425737,True,False,коэффициент_автономии;ча_отрицательные_2года
3904609338,выжил,,,9.81767,,12300,33918,0.946628,,-0.0646954,False,False,
3905030367,выжил,,,9.81767,71.11.1,12300,23823,0.277393,,0.0332752,False,False,
3905087941,выжил,,,9.81767,43.39,12300,,,,,False,,
3906154380,выжил,,,9.81767,49.4,12300,2022,0.0652281,,,,False,коэффициент_автономии
3906220730,выжил,,,9.81767,41.20,12300,,0.197895,0.538624,,False,False,текущая_ликвидность
3906250693,выжил,,,9.81767,47.99.2,12300,26404,-0.355562,,-0.285116,True,False,коэффициент_автономии;ча_отрицательные_2года
3906253736,выжил,,,9.81767,46.72.21,12300,51036,0.476859,,-4.72409,False,False,
3906274969,выжил,,,9.81767,25.1,12300,172,,,-0.535714,False,False,
3906286227,выжил,,,9.81767,46.61.1,12300,9995,0.327791,,-0.1511,False,False,
3906303000,выжил,,,9.81767,,12165,8313,0.965256,28.7819,-1.68768,False,False,
3906344729,выжил,,,9.81767,47.41,12300,20722,0.548173,2.96849,0.479307,False,False,
3906355625,выжил,,,9.81767,,12300,58,0.825607,,0.862559,False,False,падение_выручки
3906367356,выжил,,,9.81767,46.90,12300,,,,,,,
3906382570,выжил,,,9.81767,47.78,12300,12252,0.957426,,0.0469078,False,False,
3906390323,выжил,,,9.81767,49.41,12300,,-10.7143,,,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
3906395321,выжил,,,9.81767,93.12,71400,0,,1,,,False,
3906402071,выжил,,,9.81767,46.74,12300,897,-0.227758,,,,False,коэффициент_автономии
3906407866,выжил,,,9.81767,95.11,12300,,1,,,,,
3906952967,выжил,,,9.81767,69.20.2,12300,550,0.930796,,-0.1,False,False,
3906954107,выжил,,,9.81767,71.20.1,12300,4967,0.949933,,-0.0365192,False,False,
3906973340,выжил,,,9.81767,46.90,12300,37650,0.493485,1.97465,0.342634,False,False,
3907032948,выжил,,,9.81767,49.41,12300,88487,0.87797,,-1.11035,False,False,
3907062477,выжил,,,9.81767,47.99.1,65000,4621,0.795548,6.2886,,False,False,
3911007951,выжил,,,9.81767,,12100,21391,0.808526,,0.0798383,False,False,
3912502483,банкрот,2022,ProceedingsStopped,1,43.29,12300,3874,0.373626,,0.89478,False,False,падение_выручки
3913001144,выжил,,,9.81767,35.30,65243,199166,0.299099,0.542584,-0.120263,False,False,текущая_ликвидность
3913011008,выжил,,,9.81767,68.20.2,12300,26477,0.963024,6.10969,-0.144704,False,False,
3917024209,выжил,,,9.81767,68.2,12300,,-16.6,,,True,False,коэффициент_автономии;ча_отрицательные_2года
3917026703,выжил,,,9.81767,,12300,17945,0.736792,1.72291,-2.4116,False,False,
3917041042,выжил,,,9.81767,49.4,12300,106064,0.174953,,-0.230926,False,False,
3917500017,выжил,,,9.81767,80.10,19000,2309,1,,-0.215263,False,False,
3918011107,выжил,,,9.81767,01.11,12300,1847,0.671708,,0.060529,False,False,
3918503476,выжил,,,9.81767,69.20,12300,656,0.422222,,-0.173524,False,False,
3923500086,выжил,,,9.81767,01.4,14100,250,0.769237,1.24558,0.938499,False,False,падение_выручки
4005003605,выжил,,,9.81767,81.29.9,65243,20549,0.926782,6.76211,-0.216277,False,False,
4007021303,выжил,,,9.81767,01.41.11,12300,45328,0.519582,2.79858,0.157268,False,False,
4009009365,выжил,,,9.81767,,12300,7558,0.00292176,,-0.0693265,False,False,коэффициент_автономии
4011024554,выжил,,,9.81767,68.32,20702,,,,,,,
4025012157,выжил,,,9.81767,46.73,12300,0,1,,,False,False,
4025079017,выжил,,,9.81767,68.20.2,12300,13208,0.426576,,-0.181501,False,False,
4025418559,выжил,,,9.81767,18.12,12300,9667,0.804688,,-0.892522,False,False,
4025457854,выжил,,,9.81767,56.29.2,12300,,1,,,,,
4025458255,выжил,,,9.81767,41.20,12300,14857,0.00638258,1.00642,,False,False,коэффициент_автономии
4027065010,выжил,,,9.81767,41.20,12300,3453,0.500265,,-0.161063,False,False,
4027100137,выжил,,,9.81767,70.22,12300,,1,,,False,,
4027101010,выжил,,,9.81767,46.75.2,12300,4289,0.689373,,-2.156,False,False,
4027106033,выжил,,,9.81767,68.20,12300,5397,1,,0.227344,False,False,
4027108672,выжил,,,9.81767,47.52,12300,,,,,,,
4027117388,банкрот,2023,ProceedingsStopped,1,69.10,12300,599,0.0254261,,0.4365,False,False,коэффициент_автономии
4027141976,выжил,,,9.81767,,20200,247,0.0111732,,,False,False,коэффициент_автономии
4028029543,банкрот,2023,Watching,1,,12300,30092,-0.122588,0.745807,0.654365,True,True,коэффициент_автономии;падение_выручки;текущая_ликвидность;убыток_2года;ча_отрицательные_2года
4028047599,выжил,,,9.81767,41.20,12300,0,0.873576,7.33751,1,False,True,падение_выручки;убыток_2года
4028070799,банкрот,2024,ProceedingsStopped,1,46.73.6,12300,108271,0.113261,,-43.2645,False,False,
4029025654,выжил,,,9.81767,09.90,12300,295322,0.185945,1.12637,-0.338582,False,False,
4029062247,выжил,,,9.81767,,20201,,,91.3333,,,,
4100039954,выжил,,,9.81767,94.99,50000,,1,,,False,,
4101006158,выжил,,,9.81767,87.90,20200,0,,,,,False,
4101129248,выжил,,,9.81767,68.20.2,19000,10163,0.0445509,1.0322,-0.119027,False,False,коэффициент_автономии
4101163440,выжил,,,9.81767,68.32,28016,,,1.05464,,,,
4101182065,выжил,,,9.81767,,12300,12384,0.741502,,0.0187005,False,False,
4101189688,выжил,,,9.81767,69.10,12300,0,1,,1,False,False,падение_выручки
4102007860,выжил,,,9.81767,33.15,12200,466841,0.492069,1.94307,-0.72094,False,False,
4102012193,выжил,,,9.81767,93.12,71400,,,8.75,,,True,убыток_2года
4105020932,выжил,,,9.81767,68.32.2,20702,,,,,False,,
4105025345,выжил,,,9.81767,01.70,12300,,1,,,False,,
4105030754,выжил,,,9.81767,47.25.1,12300,38248,0.961858,,0.200919,False,False,
4105039556,банкрот,2024,ProceedingsStopped,1,,12300,146027,-0.188464,0.975892,-0.216811,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
4105040262,выжил,,,9.81767,79.11,12300,120116,0.485982,,-1.8504,False,False,
4108007150,банкрот,2024,Tender,1,96.04,65143,17090,-1.32442,0.430214,-4.23751,True,True,коэффициент_автономии;текущая_ликвидность;убыток_2года;ча_отрицательные_2года
4108008281,выжил,,,9.81767,,12300,3152,0.911248,,0.0898065,False,False,
4202048764,выжил,,,9.81767,42.21,12300,0,0.0105092,,1,False,False,коэффициент_автономии;падение_выручки
4202050925,выжил,,,9.81767,94.99,20702,,,,,,,
4202052859,выжил,,,9.81767,94.99,75505,,1,,,False,,
4202053877,банкрот,2023,Tender,1,46.69,12300,6294,0.0665075,1.90761,0.615258,False,False,коэффициент_автономии;падение_выручки
4205052448,банкрот,2022,ProceedingsFinished,1,46.49,12200,483,0.896031,5.6608,-0.65411,False,True,убыток_2года
4205184067,выжил,,,9.81767,,12300,485,-0.209115,,0.419162,False,False,коэффициент_автономии
4205198503,выжил,,,9.81767,68.32.2,20700,,,,,False,,
4205209353,выжил,,,9.81767,22.23,12300,2057,-0.145815,7.42949,-1.45465,True,False,коэффициент_автономии;ча_отрицательные_2года
4205225355,выжил,,,9.81767,71.2,12300,21021,0.618302,,0.00208877,False,False,
4205312953,выжил,,,9.81767,47.62.2,12300,11417,0.98832,,-0.0142134,False,False,
4205315270,выжил,,,9.81767,46.34.23,12300,31561,0.936587,,0.0469274,False,False,
4205363860,выжил,,,9.81767,69.10,12300,,0.20155,0.76699,,False,,текущая_ликвидность
4205370458,выжил,,,9.81767,42.21,12300,0,1,,,False,False,
4205388455,выжил,,,9.81767,52.24,12300,9468,0.28046,1.38978,-0.673383,False,False,
4205393430,выжил,,,9.81767,68.32,12300,1809,0.241252,1.46164,,False,False,
4209012615,выжил,,,9.81767,86.23,10000,26282,0.703872,,-0.363033,False,False,
4211020557,выжил,,,9.81767,49.41.2,12300,519,0.977076,43.6222,0.735609,False,False,падение_выручки
4212039127,выжил,,,9.81767,41.20,12300,6296,0.36334,,0.840045,False,False,падение_выручки
4217076387,выжил,,,9.81767,49.41.1,12300,1203,0.514249,,0.714591,False,False,падение_выручки
4217116791,выжил,,,9.81767,94.99,20200,,,,,,,
4217150584,банкрот,2022,ProceedingsStopped,1,46.69.9,12300,,,,,False,,
4217177882,выжил,,,9.81767,64.92,12300,,1,,,False,True,убыток_2года
4217183999,выжил,,,9.81767,41.20,12300,,1,,,False,,
4217188637,выжил,,,9.81767,68.20,12300,8956,0.170806,,-5.15533,False,False,
4217198321,выжил,,,9.81767,49.41,12300,3413,0.150767,1.55086,0.351141,False,False,
4217203758,выжил,,,9.81767,52.21.24,20101,,,,,False,,
4220024607,выжил,,,9.81767,69.10,12300,1788,0.998404,,0,False,False,
4220040817,выжил,,,9.81767,,12300,415042,0.420473,1.72699,0.293372,False,False,
4220043656,выжил,,,9.81767,,12300,4047,0.0139197,0.270275,-0.368154,False,False,коэффициент_автономии;текущая_ликвидность
4222014964,выжил,,,9.81767,47.59.1,12165,17885,-0.570602,,0.173712,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
4223120764,выжил,,,9.81767,47.11,12300,3180,0.609756,,0.702526,False,False,падение_выручки
4228008050,выжил,,,9.81767,,12300,191667,-0.637709,0.390891,-0.145169,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
4228008371,выжил,,,9.81767,41.20,12300,48893,0.164194,,0.667743,False,False,падение_выручки
4230028791,выжил,,,9.81767,35.30.4,12300,17170,0.712992,,-0.273172,False,False,
4230028872,выжил,,,9.81767,79.1,12300,12,1,,0.647059,False,False,падение_выручки
4230032364,выжил,,,9.81767,71.12.4,12300,0,,,1,False,False,падение_выручки
4230034347,выжил,,,9.81767,68.32.1,12300,,1,,,False,,
4237002859,выжил,,,9.81767,,12300,4410,0.139012,5.56926,-0.53873,False,False,
4238010757,выжил,,,9.81767,68.32.2,20700,,,,,,,
4244000281,выжил,,,9.81767,96.02,65143,,,,,False,,
4252013005,выжил,,,9.81767,56.29,12300,107,0.0454545,,-0.945455,False,False,коэффициент_автономии
4253006138,банкрот,2023,ProceedingsStopped,1,49.3,12300,,,,,False,,
4253028685,банкрот,2023,ProceedingsStopped,1,23.70.1,12300,44340,-0.109749,,0.224527,True,False,коэффициент_автономии;ча_отрицательные_2года
4253047053,выжил,,,9.81767,43.22,12300,880,0.0666667,,-0.746032,False,False,коэффициент_автономии
4303006464,выжил,,,9.81767,20.14.7,12300,9841,0.462537,1.38459,-0.449124,False,False,
4309005241,выжил,,,9.81767,47.11,10000,12939,1,,0.067056,False,False,
4311001854,выжил,,,9.81767,47.2,65000,12324,1,,0.433614,False,False,
4312156956,выжил,,,9.81767,41.20,12300,,1,,,,,
4317007436,выжил,,,9.81767,47.11,12300,1599,1,,0.414286,False,False,
4330008372,выжил,,,9.81767,47.64.2,19000,8938,0.00472813,,-0.0925315,False,False,коэффициент_автономии
4337003599,выжил,,,9.81767,02.20,12300,223470,0.163563,1.78974,-0.816371,False,False,
4341011930,выжил,,,9.81767,,20101,,,,,,,
4345107432,выжил,,,9.81767,68.32,12300,16645,-0.812192,,-0.0715205,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
4345109648,выжил,,,9.81767,71.11.1,12300,17865,1,,-2.31878,False,False,
4345114817,выжил,,,9.81767,68.32.1,20716,,,1.02203,,,,
4345162585,выжил,,,9.81767,,12300,5335,0.980132,,0.68417,False,False,падение_выручки
4345327043,выжил,,,9.81767,79.1,12300,,,,,,,
4345342965,выжил,,,9.81767,71.12,12300,28151,0.930359,,-0.325189,False,False,
4345418879,выжил,,,9.81767,43.99,12300,,1,,,False,,
4345423759,выжил,,,9.81767,56.10,12300,20909,0.548234,,-0.904281,False,False,
4345432295,выжил,,,9.81767,,12300,8655,0.987133,77.72,,False,False,
4345455091,выжил,,,9.81767,94.11,20601,10568,0.0514706,1.05426,-0.741595,False,False,коэффициент_автономии
4345467428,выжил,,,9.81767,46.73,12300,,1,,,,,
4345487569,выжил,,,9.81767,01.11,12300,8318,0.175832,0.783392,-0.824523,False,False,текущая_ликвидность
4345501630,выжил,,,9.81767,86.21,12300,32766,0.171391,,-4.75852,False,False,
4346042668,выжил,,,9.81767,52.10.9,20101,,,,,,,
4400001207,выжил,,,9.81767,47.91.2,10000,0,0.193548,,,,False,
4401017834,выжил,,,9.81767,35.23,12300,1.46035e+07,0.928385,13.3596,-0.0296084,False,False,
4401162750,выжил,,,9.81767,38.32.2,12300,,0.0114355,,,False,False,коэффициент_автономии
4401179120,выжил,,,9.81767,46.73,12300,,-1,0.5,,False,True,коэффициент_автономии;текущая_ликвидность;убыток_2года
4401181665,выжил,,,9.81767,68.20,12300,1403,1,,0.465524,False,,
4401182108,выжил,,,9.81767,46.49.49,12300,34111,0.977986,,0.672129,False,False,падение_выручки
4401186198,выжил,,,9.81767,,12300,115,1,,0.646154,False,False,падение_выручки
4407000146,выжил,,,9.81767,46.73.1,12300,90000,-0.832107,,-6.73661,True,False,коэффициент_автономии;ча_отрицательные_2года
4407009773,выжил,,,9.81767,68.32.1,20716,0,,,,False,False,
4431001038,выжил,,,9.81767,52.21.24,20101,,,,,,,
4437000496,выжил,,,9.81767,94.99,71400,0,,,,,,
4501033050,выжил,,,9.81767,,20702,,,,,,,
4501043490,выжил,,,9.81767,68.32.2,20700,,,,,False,,
4501093660,выжил,,,9.81767,68.31.5,12300,,1,,,False,,
4501106421,выжил,,,9.81767,,12300,26208,0.55594,,-0.309811,False,False,
4501123272,выжил,,,9.81767,94.99,20200,,,,,False,,
4501125054,выжил,,,9.81767,46.73,12300,23392,0.638452,2.62534,-0.736471,False,False,
4501154658,выжил,,,9.81767,41.2,12300,188,0,,0.929746,,False,коэффициент_автономии;падение_выручки
4501166533,выжил,,,9.81767,37.00,12300,2156,1,,,False,,
4501218728,выжил,,,9.81767,47.52.73,12300,27449,0.983598,,0.53209,False,False,падение_выручки
4501223358,выжил,,,9.81767,94.99,20200,,,,,False,,
4502022319,выжил,,,9.81767,93.19,12165,433,0.0189707,,-11.0278,False,False,коэффициент_автономии
4510020964,выжил,,,9.81767,,12300,9003,0.949004,18.138,-0.545314,False,False,
4513007802,выжил,,,9.81767,47.11,12300,9234,0.824672,,-0.125,False,False,
4516003122,выжил,,,9.81767,,50101,6168,0.696233,,-0.130913,False,False,
4620014843,выжил,,,9.81767,01.41,12300,1199,0.299469,0.648061,-7.6259,False,False,текущая_ликвидность
4625006444,выжил,,,9.81767,46.32,12300,,0.336915,,,False,,
4629019518,банкрот,2022,Tender,1,,65241,2080,-1.1175,0.433303,-0.0436528,True,True,коэффициент_автономии;текущая_ликвидность;убыток_2года;ча_отрицательные_2года
4632047402,выжил,,,9.81767,41.20,12300,0,0.859375,2.26667,1,False,True,падение_выручки;убыток_2года
4632065056,выжил,,,9.81767,73.20.1,20614,0,,,,,False,
4632078344,выжил,,,9.81767,47.78.9,12300,108,0.871118,,0.824104,False,True,падение_выручки;убыток_2года
4632081080,банкрот,2024,Tender,1,46.69.5,12300,290860,0.00899447,1.00729,0.0735851,False,False,коэффициент_автономии
4632180549,выжил,,,9.81767,43.21,12300,16215,0.805357,,0.481186,False,False,
4632188731,выжил,,,9.81767,52.29,12300,577,1,,-0.235546,False,False,
4632197278,банкрот,2024,ProceedingsFinished,1,64.99.3,12300,,-0.00143586,2.40346e-05,,True,True,коэффициент_автономии;текущая_ликвидность;убыток_2года;ча_отрицательные_2года
4632224443,выжил,,,9.81767,46.69,12300,320371,0.044263,1.04631,-23.7601,False,,коэффициент_автономии
4632253074,выжил,,,9.81767,86.23,12300,7743,0.353013,,-58.1069,False,False,
4632278640,выжил,,,9.81767,46.74.2,12300,795,1,,,False,False,
4632282685,выжил,,,9.81767,46.73.6,12300,7233,1,,,False,False,
4633040417,выжил,,,9.81767,23.99.3,12300,3444,0.280542,1.38994,0.997069,False,False,падение_выручки
4702006931,выжил,,,9.81767,01.19,20702,,0,1,,False,False,коэффициент_автономии
4702016859,выжил,,,9.81767,,12300,47624,0.967032,,-0.21969,False,False,
4702017771,выжил,,,9.81767,38.11,12300,167545,0.103171,,-0.321343,False,False,
4703025172,выжил,,,9.81767,,20702,,,,,,,
4703064012,банкрот,2022,Tender,1,68.32.1,65200,74899,0.0615526,,-0.0473334,False,False,коэффициент_автономии
4703096529,банкрот,2022,ProceedingsStopped,1,,12300,,1,,,False,,
4703124600,выжил,,,9.81767,68.10,12300,583,0.999529,,,False,True,убыток_2года
4703164144,выжил,,,9.81767,,20616,,,1.20093,,,,
4703184694,выжил,,,9.81767,10.84,12300,19284,0.021904,,,,False,коэффициент_автономии
4704006630,выжил,,,9.81767,68.20.2,12300,,,,,True,,ча_отрицательные_2года
4704028874,выжил,,,9.81767,68.32.2,20702,,,,,,,
4704087573,выжил,,,9.81767,68.32.2,20702,,,1.18574,,,False,
4705018798,банкрот,2022,ProceedingsStopped,1,46.18.99,12300,2049,0.840092,,-0.864422,False,False,
4705073439,выжил,,,9.81767,49.20,12300,21513,1,,0.420385,False,False,
4705088932,выжил,,,9.81767,10.71,12300,426653,0.0394696,,,,False,коэффициент_автономии
4707028657,выжил,,,9.81767,47.1,12300,220,0.520535,1.87177,0.07173,False,False,
4707034121,выжил,,,9.81767,45.3,19000,,,,,False,,
4708011543,выжил,,,9.81767,,12300,77806,0.910397,,0.714312,False,False,падение_выручки
4708012466,выжил,,,9.81767,,20702,,,,,,,
4710032237,выжил,,,9.81767,85.42.1,12300,2956,0.739445,,0.171989,False,False,
4712125800,выжил,,,9.81767,68.32.2,20702,9,,10.1264,,,False,
4714022060,выжил,,,9.81767,58,12300,,0.87619,,,False,,
4715030064,выжил,,,9.81767,41.20,12300,,1,,,False,False,
4716037672,выжил,,,9.81767,43.99.4,12300,66793,0.0505855,,-1.24998,False,False,коэффициент_автономии
4719025812,выжил,,,9.81767,46.44.1,12300,68163,0.849559,,-0.131317,False,False,
4720006878,выжил,,,9.81767,68.32.2,20702,210,0,,0.618182,,False,коэффициент_автономии;падение_выручки
4720008025,выжил,,,9.81767,68.32.2,20701,,1,,,False,,
4720008762,выжил,,,9.81767,68.32.2,20702,,,,,,,
4725484959,выжил,,,9.81767,64.99,12300,0,0.999884,,,False,False,
4802001366,выжил,,,9.81767,46.49,12300,1147,1,,0.609465,False,False,падение_выручки
4805000681,выжил,,,9.81767,95.22.1,12300,,,,,False,,
4811008336,выжил,,,9.81767,47.11,12300,6870,0.907566,,-0.731351,False,False,
4823073298,выжил,,,9.81767,46.73,12300,5947,0.119002,,0.269141,False,False,
4824042944,выжил,,,9.81767,68.32.2,20716,848,0,,-0.0303767,,True,коэффициент_автономии;убыток_2года
4824103160,выжил,,,9.81767,79.11,12300,,,,,False,,
4825140616,выжил,,,9.81767,49.32,12300,1137,0.0694473,,,,False,коэффициент_автономии
4825140750,выжил,,,9.81767,43.29,12300,,0.338014,1.49097,,False,,
4826000315,выжил,,,9.81767,96.02,12300,231,1,,0.487805,False,False,
4826021121,выжил,,,9.81767,68.20.2,12247,6869,0.140304,,-0.0117838,False,False,
4826055804,выжил,,,9.81767,46.69,19000,559308,0.319381,1.45782,-0.301085,False,False,
4826066299,выжил,,,9.81767,45.31,12165,123716,0.212203,,-0.672538,False,False,
4826086947,банкрот,2024,Tender,1,49.41,12300,45054,0.0283119,,0.0985053,False,False,коэффициент_автономии
4826090943,выжил,,,9.81767,94.99,20200,150,,,,,False,
4826146995,выжил,,,9.81767,,12300,130460,0.00287522,1.68079,,False,False,коэффициент_автономии
4900000057,выжил,,,9.81767,94.99,20200,,,,,,,
4900010168,банкрот,2024,Tender,1,38.21,12300,20499,-0.110434,0.899892,,False,False,коэффициент_автономии;текущая_ликвидность
4909097653,выжил,,,9.81767,07.29.41,12300,18211,0.932155,,0.905484,False,False,падение_выручки
4909120006,выжил,,,9.81767,05.10.13,12300,762166,0.789998,4.2818,-0.0770533,False,False,
4909124610,выжил,,,9.81767,85.42.9,71400,10,,1.00295,0.655172,,False,падение_выручки
4909132763,выжил,,,9.81767,85.41,12300,25,-1.03448,,,,False,коэффициент_автономии
5001075512,выжил,,,9.81767,45.3,12300,,1,,,False,,
5001132841,выжил,,,9.81767,10.39,12300,,1,,,False,,
5003104046,выжил,,,9.81767,03.12,12300,33382,0.953485,,-0.343989,False,False,
5003114968,выжил,,,9.81767,46.13.2,12300,113366,0.181837,1.20504,0.479669,False,False,
5003117912,выжил,,,9.81767,,12300,12783,0.723778,,0.298139,False,False,
5003129210,выжил,,,9.81767,45.32,12300,1195,-26.15,,-0.0328436,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
5003146159,выжил,,,9.81767,46.32,12300,1221,-0.0234483,0.984386,,False,False,коэффициент_автономии;текущая_ликвидность
5005050678,выжил,,,9.81767,73.1,12300,2783,-0.811404,,-0.193396,True,False,коэффициент_автономии;ча_отрицательные_2года
5005069982,выжил,,,9.81767,41.20,12300,67,-0.106982,0.903357,,False,False,коэффициент_автономии;текущая_ликвидность
5007019578,выжил,,,9.81767,68.32.2,20702,,-0.63,,,,True,коэффициент_автономии;убыток_2года
5007020245,выжил,,,9.81767,68.32.2,20702,,,,,,,
5007057492,выжил,2025,Tender,9.81767,70.22,12300,11081,0.19112,1.76687,0.53883,False,False,падение_выручки
5007087200,выжил,,,9.81767,46.33,12300,637837,-0.234286,0.942555,-0.161374,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
